id,title,datetaken,dateupload,description,license,ownername,latitude,longitude,url,photopage,tags
5833478432,"Brooklyn Bridge, Looking East, New York City Side, July 7, 1899.",1899-07-07 00:00:00,1310047682,"Daniel Berry Austin (American, born 1863, active 1899-1909). Brooklyn Bridge, Looking East, New York City Side, July 7, 1899. Glass plate negative, 5 x 7 in. (12.7 x 17.8 cm). Prints, Drawings and Photographs. Brooklyn Museum/Brooklyn Public Library, Brooklyn Collection, 1996.164.1-973. (1996.164.1-973_glass_SL1.jpg)  <b>Thank you, <a href=""http://www.brooklynmuseum.org/community/historypin/#account_id=6623"" rel=""nofollow"">BillRhodesPhoto</a>!</b> This image has been geotagged by <a href=""http://www.flickr.com/people/ashevillein/"">BillRhodesPhoto</a> so Brooklyn could be part of the <a href=""http://www.historypin.com/"" rel=""nofollow"">Historypin</a> launch on July 11, 2011.  <b>Want to help?</b> See if you can place any of <a href=""http://www.flickr.com/photos/brooklyn_museum/sets/72157626844588977/"">these images</a> on a map!  <b>More about #mapBK: <a href=""http://www.brooklynmuseum.org/mapbk"" rel=""nofollow"">www.brooklynmuseum.org/mapbk</a></b>",7,Brooklyn Museum,40.705537,-73.996265,http://farm4.staticflickr.com/3039/5833478432_a801b8d60e.jpg,http://www.flickr.com/photos/83979593@N00/5833478432,history//brooklyn//brooklynbridge//brooklynmuseum//mapbk//geo:suggestedby=37645348n00
5833478738,"Brooklyn Bridge, Looking at New York City from Brooklyn, July 7, 1899.",1899-07-07 00:00:00,1310047682,"Daniel Berry Austin (American, born 1863, active 1899-1909). Brooklyn Bridge, Looking at New York City from Brooklyn, July 7, 1899. Glass plate negative, 5 x 7 in. (12.7 x 17.8 cm). Prints, Drawings and Photographs. Brooklyn Museum/Brooklyn Public Library, Brooklyn Collection, 1996.164.1-974. (1996.164.1-974_glass_bw_SL1.jpg)  <b>Thank you, <a href=""http://www.brooklynmuseum.org/community/historypin/#account_id=6623"" rel=""nofollow"">BillRhodesPhoto</a>!</b> This image has been geotagged by <a href=""http://www.flickr.com/people/ashevillein/"">BillRhodesPhoto</a> so Brooklyn could be part of the <a href=""http://www.historypin.com/"" rel=""nofollow"">Historypin</a> launch on July 11, 2011.  <b>Want to help?</b> See if you can place any of <a href=""http://www.flickr.com/photos/brooklyn_museum/sets/72157626844588977/"">these images</a> on a map!  <b>More about #mapBK: <a href=""http://www.brooklynmuseum.org/mapbk"" rel=""nofollow"">www.brooklynmuseum.org/mapbk</a></b> ",7,Brooklyn Museum,40.706708,-73.998154,http://farm4.staticflickr.com/3164/5833478738_ce36bb5b7c.jpg,http://www.flickr.com/photos/83979593@N00/5833478738,history//brooklyn//brooklynmuseum//mapbk//geo:suggestedby=37645348n00
5833500938,"Brooklyn Bridge, 1895.",1895-00-01 00:00:00,1308840837,"Edgar S. Thomson (American, active 1890s-1900s). Brooklyn Bridge, 1895. Glass plate negative, 4 x 5 in. (10.2 x 12.7 cm). Prints, Drawings and Photographs. Brooklyn Museum/Brooklyn Public Library, Brooklyn Collection, 1996.164.7-20. (1996.164.7-20_glass_SL1.jpg)  <b>Thank you, <a href=""http://www.brooklynmuseum.org/community/historypin/#account_id=6612"" rel=""nofollow"">erobey</a>!</b> This image has been geotagged by <a href=""http://www.flickr.com/people/66256641@N00/"">erobey</a> so Brooklyn could be part of the <a href=""http://www.historypin.com/"" rel=""nofollow"">Historypin</a> launch on July 11, 2011.  <b>Want to help?</b> See if you can place any of <a href=""http://www.flickr.com/photos/brooklyn_museum/sets/72157626844588977/"">these images</a> on a map!  <b>More about #mapBK: <a href=""http://www.brooklynmuseum.org/mapbk"" rel=""nofollow"">www.brooklynmuseum.org/mapbk</a></b>",7,Brooklyn Museum,40.706946,-73.998002,http://farm4.staticflickr.com/3208/5833500938_f0f5d709e1.jpg,http://www.flickr.com/photos/83979593@N00/5833500938,bridge//history//brooklyn//brooklynbridge//urchin//schoolboy//brooklynmuseum//mapbk//geo:suggestedby=66256641n00
5832944689,"Bridge, Prospect Park, Brooklyn, ca. 1872-1887.",1872-00-01 00:00:00,1308675653,"George Bradford Brainerd (American, 1845-1887). Bridge, Prospect Park, Brooklyn, ca. 1872-1887. Wet-collodion negative. Prints, Drawings and Photographs. Brooklyn Museum/Brooklyn Public Library, Brooklyn Collection, 1996.164.2-716. (1996.164.2-716_glass_IMLS_SL2.jpg)  <b>Thank you, <a href=""http://www.brooklynmuseum.org/community/historypin/#account_id=6597"" rel=""nofollow"">TVL1970</a>!</b> This image has been geotagged by <a href=""http://www.flickr.com/people/25695066@N00/"">TVL1970</a> so Brooklyn could be part of the <a href=""http://www.historypin.com/"" rel=""nofollow"">Historypin</a> launch on July 11, 2011.  <b>Want to help?</b> See if you can place any of <a href=""http://www.flickr.com/photos/brooklyn_museum/sets/72157626844588977/"">these images</a> on a map!  <b>More about #mapBK: <a href=""http://www.brooklynmuseum.org/mapbk"" rel=""nofollow"">www.brooklynmuseum.org/mapbk</a></b>",7,Brooklyn Museum,40.670854,-73.970508,http://farm4.staticflickr.com/3346/5832944689_6d0633a5d4.jpg,http://www.flickr.com/photos/83979593@N00/5832944689,history//brooklyn//prospectpark//flatbush//brooklynmuseum//prospectparkbrooklyn//meadowportarch//meadowport//mapbk
5833503862,"East River Bridge, ca. 1888.",1888-00-01 00:00:00,1308675653,"Breading G. Way (American, 1860-1940). East River Bridge, ca. 1888. Nitrate negative. Prints, Drawings and Photographs. Brooklyn Museum/Brooklyn Public Library, Brooklyn Collection, 1996.164.9-20. (1996.164.9-20_bw.jpg)  <b>Thank you, <a href=""http://www.brooklynmuseum.org/community/historypin/#account_id=6596"" rel=""nofollow"">lochnessa1</a>!</b> This image has been geotagged by <a href=""http://www.flickr.com/people/25328910@N08/"">lochnessa1</a> so Brooklyn could be part of the <a href=""http://www.historypin.com/"" rel=""nofollow"">Historypin</a> launch on July 11, 2011.  <b>Want to help?</b> See if you can place any of <a href=""http://www.flickr.com/photos/brooklyn_museum/sets/72157626844588977/"">these images</a> on a map!  <b>More about #mapBK: <a href=""http://www.brooklynmuseum.org/mapbk"" rel=""nofollow"">www.brooklynmuseum.org/mapbk</a></b>",7,Brooklyn Museum,40.704943,-73.995418,http://farm6.staticflickr.com/5192/5833503862_e9b41010fb.jpg,http://www.flickr.com/photos/83979593@N00/5833503862,bridge//history//brooklyn//brooklynbridge//eastriver//suspensionbridge//johnroebling//brooklynmuseum//roebling//johnaroebling//washingtonroebling//johnaugustusroebling//mapbk//geo:suggestedby=25328910n08
5832930865,"Construction of Brooklyn Bridge, ca. 1872-1887.",1872-01-01 00:00:00,1308074322,"George Bradford Brainerd (American, 1845-1887). Construction of Brooklyn Bridge, ca. 1872-1887. Glass plate negative, 3 1/4 x 4 1/4 in. (8.3 x 10.8 cm). Prints, Drawings and Photographs. Brooklyn Museum/Brooklyn Public Library, Brooklyn Collection, 1996.164.2-1614. (1996.164.2-1614_glass_bw_SL1.jpg)  <b>Thank you, <a href=""http://www.brooklynmuseum.org/community/historypin/#account_id=6592"" rel=""nofollow"">aur2899</a>!</b> This image has been geotagged by <a href=""http://www.flickr.com/people/aur2899/"">aur2899</a> so Brooklyn could be part of the <a href=""http://www.historypin.com/"" rel=""nofollow"">Historypin</a> launch on July 11, 2011.  <b>Want to help?</b> See if you can place any of <a href=""http://www.flickr.com/photos/brooklyn_museum/sets/72157626844588977/"">these images</a> on a map!  <b>More about #mapBK: <a href=""http://www.brooklynmuseum.org/mapbk"" rel=""nofollow"">www.brooklynmuseum.org/mapbk</a></b>",7,Brooklyn Museum,40.708726,-73.9969,http://farm6.staticflickr.com/5026/5832930865_d99f71c135.jpg,http://www.flickr.com/photos/83979593@N00/5832930865,history//brooklyn//brooklynmuseum//mapbk
5710937421,"Painters on the Brooklyn Bridge Suspender Cables-October 7, 1914",1914-01-01 00:00:00,1305150221," Artist: Eugene de Salignac Artist Bio: American, 1861 - 1943 Creation Date: 1914 Print Date: modern print Process: gelatin silver print Credit Line: Gift of the Howe and Mohler Family, New York, NY Image: Courtesy NYC Municipal Archives Accession Number: 2005.003.001",7,Museum of Photographic Arts Collections,40.704224,-73.994631,http://farm4.staticflickr.com/3255/5710937421_5fd9e51b87.jpg,http://www.flickr.com/photos/61498590@N03/5710937421,bridge//men//painting//grid//labor//working//climbing//brooklynbridge//ten//1910s//1914//suspensionbridge//museumofphotographicarts
5008203679,"Subway train on the Brooklyn Bridge in Manhattan, New York...05/1974.",1974-05-01 00:00:00,1284998222,"<strong>Original Caption:</strong> Subway train on the Brooklyn Bridge in Manhattan, New York.  The problem of how to move people and goods is ultimately bound up with the quality of life everywhere.  The lands adjacent to the Bight, rivers flowing into it, and bays and estuaries edging it have direct upon the environment of the coastal water.  The New York, New Jersey metropolitan region is one of the most congested in the world, 05/1974.  <strong>U.S. National Archives’ Local Identifier:</strong> 412-DA-13299  <strong>Photographer:</strong> Alexander, Hope  <strong>Subjects:</strong> Manhattan (New York City, New York state, United States, North and Central America) borough Environmental Protection Agency Project DOCUMERICA  <strong>From:</strong>: Series DOCUMERICA: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern, compiled 1972 - 1977  <strong>Created By:</strong>: Environmental Protection Agency. (12/02/1970 - )  <strong>Production Date:</strong> 05/1974  <strong>Persistent URL:</strong>  <a href=""http://arcweb.archives.gov/arc/action/ExternalIdSearch?id=555751"" rel=""nofollow"">arcweb.archives.gov/arc/action/ExternalIdSearch?id=555751</a>  <strong>Repository: </strong> Still Picture Records Section, National Archives at College Park (College Park, MD)  For information about ordering reproductions of photographs held by the Still Picture Unit, visit: <a href=""http://www.archives.gov/research/order/still-pictures.html"" rel=""nofollow"">www.archives.gov/research/order/still-pictures.html</a>  Reproductions may be ordered via an independent vendor. NARA maintains a list of vendors at <a href=""http://www.archives.gov/research/order/vendors-photos-maps-dc.html"" rel=""nofollow"">www.archives.gov/research/order/vendors-photos-maps-dc.html</a>       Access Restrictions: Unrestricted Use Restrictions: Unrestricted",7,The U.S. National Archives,40.707807,-73.999314,http://farm5.staticflickr.com/4084/5008203679_bdcdc8c6c4.jpg,http://www.flickr.com/photos/35740357@N03/5008203679,newyorkcity//urban//brooklyn//train//subway//transit//manhattanbridge//suspensionbridge//railfan//leonmoisseiff//moisseiff//alexanderhope//usnationalarchives//historyhappenshere//nara:arcid=555751
3990849034,"South St. & East River, 1890.",2009-10-07 10:58:37,1254938317,"Digital ID: 810153.  Date depicted: 1890   Notes:  Written on mount: 'South St. &amp; East River 1890' Written on image: 'I. Seidman'   Source: Mid-Manhattan Picture Collection / New York City -- wharves &amp; docks -- 1800s (<a href=""http://digitalgallery.nypl.org/nypldigital/explore/?col_id=482"" rel=""nofollow"">more info</a>)   Repository: The New York Public Library. Mid-Manhattan Library. Picture Collection.   See more information about <a href=""http://digitalgallery.nypl.org/nypldigital/id?810153"" rel=""nofollow"">this image</a> and others at <a href=""http://digitalgallery.nypl.org"" rel=""nofollow"">NYPL Digital Gallery</a>. Persistent URL: <a href=""http://digitalgallery.nypl.org/nypldigital/id?810153"" rel=""nofollow"">digitalgallery.nypl.org/nypldigital/id?810153</a>   <b>Rights Info:</b> No known copyright restrictions; may be subject to third party rights (for more information, <a href=""http://www.nypl.org/legal/flickr.cfm"" rel=""nofollow"">click here</a>)",7,New York Public Library,40.707622,-74.000663,http://farm3.staticflickr.com/2563/3990849034_44cc4e5333.jpg,http://www.flickr.com/photos/32951986@N05/3990849034,ny//newyork//piers//ships//newyorkpubliclibrary//photographs//brooklynbridge//eastriver//carts//rigging//southstreet//wagons//1890s//wharves//waterfronts//xmlns:dc=httppurlorgdcelements11//shipequipment//dc:coverage=1890//dc:identifier=httpdigitalgallerynyplorgnypldigitalid810153
3990816208,East River - Shore and skyline - South Ferry - Williamsburg ...,2009-10-07 10:43:00,1254937380,"Digital ID: 733729F. East River - Shore and skyline - South Ferry - Williamsburg Bridge - [South Brooklyn Municipal Ferry.]. Sperr, Percy Loomis -- Photographer. 1923; 1929   Source: Photographic views of New York City, 1870's-1970's / Topics (<a href=""http://digitalgallery.nypl.org/nypldigital/explore/?col_id=219"" rel=""nofollow"">more info</a>)   Repository: The New York Public Library. Irma and Paul Milstein Division of United States History, Local History and Genealogy.   See more information about <a href=""http://digitalgallery.nypl.org/nypldigital/id?733729F"" rel=""nofollow"">this image</a> and others at <a href=""http://digitalgallery.nypl.org"" rel=""nofollow"">NYPL Digital Gallery</a>. Persistent URL: <a href=""http://digitalgallery.nypl.org/nypldigital/id?733729F"" rel=""nofollow"">digitalgallery.nypl.org/nypldigital/id?733729F</a>   <b>Rights Info:</b> No known copyright restrictions; may be subject to third party rights (for more information, <a href=""http://www.nypl.org/legal/flickr.cfm"" rel=""nofollow"">click here</a>)",7,New York Public Library,40.707222,-74.002704,http://farm4.staticflickr.com/3501/3990816208_90306c388f.jpg,http://www.flickr.com/photos/32951986@N05/3990816208,ny//newyorkpubliclibrary//cityscapes//eastriver//xmlns:dc=httppurlorgdcelements11//dc:coverage=1923//dc:identifier=httpdigitalgallerynyplorgnypldigitalid733729f
